id,title,overview,genres,keywords,director,cast,release_year,rating,runtime,budget,revenue
1,The Dark Knight,Batman faces the Joker in a battle for Gotham City's soul. A thrilling crime drama with psychological depth.,Action Crime Drama,superhero batman joker crime psychological,Christopher Nolan,Christian Bale Heath Ledger Aaron Eckhart,2008,9.0,152,,
2,Inception,A thief who enters people's dreams to steal secrets gets a chance to have his criminal record erased.,Action Science Fiction Thriller,dreams mind heist surreal layered,Christopher Nolan,Leonardo DiCaprio Ellen Page Tom Hardy,2010,8.8,148,,
3,Pulp Fiction,"The lives of two mob hitmen, a boxer, and others intertwine in four tales of violence and redemption.",Crime Drama,nonlinear narrative violence redemption dialogue,Quentin Tarantino,John Travolta Samuel L. Jackson Uma Thurman,1994,8.9,154,,
4,The Shawshank Redemption,"Two imprisoned men bond over years, finding solace and redemption through acts of common decency.",Drama,prison friendship hope redemption corruption,Frank Darabont,Tim Robbins Morgan Freeman Bob Gunton,1994,9.3,142,,
5,Interstellar,A team of explorers travel beyond this galaxy through a wormhole in an attempt to ensure humanity's survival.,Adventure Drama Science Fiction,space time wormhole family sacrifice,Christopher Nolan,Matthew McConaughey Anne Hathaway Jessica Chastain,2014,8.6,169,,
6,Shadow Files,The story follows a hero dealing with police while facing police and coming of age.,Crime Drama,police relationships criminal coming of age,Tim Burton,Brad Pitt Natalie Portman Amy Adams Oscar Isaac Meryl Streep Will Smith,2008,7.9,156,,
7,Return of Silent,A thrilling story about supernatural and supernatural in a world of fear.,Horror,fear supernatural,Denis Villeneuve,Scarlett Johansson Robert Downey Jr. Cate Blanchett Matt Damon,2015,9.4,100,,1920006565.0
8,Planet Bright,"When wedding meets jazz, they must overcome jazz to save the day.",Science Fiction Romance Music,dance future passion jazz wedding,Paul Thomas Anderson,Natalie Portman Lupita Nyong'o Brad Pitt Jennifer Lawrence Michael Fassbender Robert Downey Jr.,1997,3.0,82,,1195291187.0
9,The Bright Story,The story follows a hero dealing with concert while facing concert and singing.,Music,concert singing,Coen Brothers,Natalie Portman Oscar Isaac Amy Adams Meryl Streep Jennifer Lawrence,2015,9.5,109,,923284913.0
10,Realm of Secret,A journey through psychological where chase leads to conflict and beyond.,Fantasy War Thriller,chase conflict prophecy battle psychological,Christopher Nolan,Brad Pitt Margot Robbie Robert Downey Jr.,2016,3.9,176,,643664786.0
11,The Fire Story,A thrilling story about puzzle and rock in a world of puzzle.,Music Mystery,puzzle rock singing clues,Ari Aster,Brad Pitt Scarlett Johansson Tom Hanks Oscar Isaac,2024,7.6,95,46963099.0,
12,The Dark Story,An epic tale of desert featuring suspense and unexpected suspense.,Western Thriller Fantasy,suspense dragons horses desert magic,Greta Gerwig,Leonardo DiCaprio Oscar Isaac Cate Blanchett Angelina Jolie,1992,8.4,84,,
13,Midnight Golden,The story follows a hero dealing with aliens while facing edge and danger.,Thriller Fantasy Science Fiction,danger mythical dragons edge dystopia,Denis Villeneuve,Oscar Isaac Cate Blanchett Amy Adams Scarlett Johansson Brad Pitt,2001,4.4,114,77326893.0,1095939291.0
14,Victory at Dark,A journey through conflict where sacrifice leads to sacrifice and beyond.,War,conflict sacrifice,James Cameron,Amy Adams Ryan Gosling Angelina Jolie,2001,3.9,178,187352996.0,
15,Midnight Fire,"When combat meets psychological, they must overcome combat to save the day.",Thriller Action,psychological combat chase fight,James Cameron,Natalie Portman Angelina Jolie Leonardo DiCaprio Meryl Streep Brad Pitt,2005,7.1,83,146566597.0,1452651725.0
16,Finding Bright,A journey through robots where time travel leads to relationship and beyond.,Romance Science Fiction,robots marriage relationship time travel,Wes Anderson,Leonardo DiCaprio Matt Damon Jennifer Lawrence Cate Blanchett,2007,8.2,110,,
17,The Fire Story,A journey through saloon where heist leads to heist and beyond.,Western Crime Family,heist saloon frontier adventure criminal,Coen Brothers,Meryl Streep Robert Downey Jr. Oscar Isaac,2012,8.1,88,,1423638323.0
18,Battle of Ancient,"When conflict meets wholesome, they must overcome supernatural to save the day.",War Family Horror,supernatural soldiers wholesome adventure conflict,David Fincher,Scarlett Johansson Tom Hanks Meryl Streep Ryan Gosling Leonardo DiCaprio Natalie Portman,2022,4.5,101,82370453.0,956111036.0
19,The Dark Campaign,An epic tale of sacrifice featuring strategy and unexpected sacrifice.,War,sacrifice strategy,Paul Thomas Anderson,Brad Pitt Natalie Portman Tom Hanks,1998,3.4,123,99404519.0,602551355.0
20,The Shadow Story,A journey through classical where classical leads to classical and beyond.,Music Fantasy,dance classical magic supernatural,Ari Aster,Matt Damon Will Smith Margot Robbie Natalie Portman Lupita Nyong'o,2014,7.7,96,72762649.0,
21,The Secret Story,A thrilling story about biography and ancient in a world of biography.,History,biography ancient,Quentin Tarantino,Angelina Jolie Meryl Streep Michael Fassbender Scarlett Johansson Emma Stone,2003,8.6,99,88561701.0,932000485.0
22,The Silent Story,The story follows a hero dealing with learning while facing relationship and values.,History Romance Family,relationship learning revolution values ancient,Ari Aster,Margot Robbie Amy Adams Will Smith Ryan Gosling,2008,3.2,98,,
23,The Bright Prophecy,A thrilling story about dating and wizards in a world of character study.,Fantasy Romance Drama,character study magic family wizards heartbreak,Christopher Nolan,Meryl Streep Oscar Isaac Emma Stone,2002,8.7,157,101540811.0,139917021.0
24,The Crystal Story,A thrilling story about revolution and fear in a world of revolution.,History Crime Horror,ancient police fear heist haunted,Wes Anderson,Emma Stone Amy Adams Leonardo DiCaprio,2011,4.3,108,,969108866.0
25,The Last Golden,A journey through weapons where weapons leads to hero and beyond.,Action,weapons hero,Kathryn Bigelow,Amy Adams Christian Bale Ryan Gosling,1994,6.7,174,,910510067.0
26,Return of Silent,The story follows a hero dealing with edge while facing danger and criminal.,Horror Crime Thriller,monster investigation edge haunted criminal,Steven Spielberg,Matt Damon Meryl Streep Tom Hanks Brad Pitt Cate Blanchett,1995,4.1,139,123706096.0,
27,The Wild Nightmare,An epic tale of saloon featuring conflict and unexpected military.,Horror War Western,military horses conflict haunted saloon,Quentin Tarantino,Tom Hanks Will Smith Scarlett Johansson Jennifer Lawrence Brad Pitt Robert Downey Jr.,2003,3.7,100,121424484.0,238018411.0
28,The Bright Nightmare,A thrilling story about fear and haunted in a world of haunted.,Horror,haunted fear,Denis Villeneuve,Lupita Nyong'o Michael Fassbender Emma Stone Christian Bale Scarlett Johansson Robert Downey Jr.,2012,8.3,106,65984973.0,1783731292.0
29,The Bright Story,A thrilling story about twist and singing in a world of relationships.,Drama Mystery Music,twist relationships singing musical secret,David Fincher,Emma Stone Christian Bale Tom Hanks Natalie Portman,2007,6.0,119,,
30,Magic of Secret,A thrilling story about colorful and family in a world of family.,Animation,family colorful,Christopher Nolan,Scarlett Johansson Amy Adams Meryl Streep Brad Pitt Robert Downey Jr.,2017,4.0,153,,
31,The Silent Curse,The story follows a hero dealing with ghost while facing ghost and supernatural.,Horror Crime Action,corruption ghost weapons investigation hero,Jordan Peele,Scarlett Johansson Jennifer Lawrence Brad Pitt Margot Robbie,2009,8.0,172,,43869524.0
32,The Silent Story,An epic tale of wholesome featuring secret and unexpected puzzle.,Family Mystery,secret wholesome learning puzzle,Denis Villeneuve,Brad Pitt Emma Stone Robert Downey Jr.,2016,5.1,137,132265565.0,13492876.0
33,Quest for Secret,An epic tale of quest featuring danger and unexpected tension.,Adventure Fantasy Thriller,danger quest exotic prophecy tension,Ridley Scott,Amy Adams Oscar Isaac Meryl Streep Lupita Nyong'o Tom Hanks Ryan Gosling,1995,5.2,99,120464696.0,575055051.0
34,Planet Wild,A journey through robots where robots leads to aliens and beyond.,Science Fiction,aliens robots,Kathryn Bigelow,Meryl Streep Brad Pitt Ryan Gosling Christian Bale,2011,3.8,180,106335032.0,
35,The Crystal Story,A thrilling story about detective and secret in a world of secret.,Mystery,secret detective,Ari Aster,Tom Hanks Ryan Gosling Margot Robbie Brad Pitt Jennifer Lawrence,2020,4.3,152,23416250.0,592219583.0
36,Battle of Fire,The story follows a hero dealing with victory while facing history and victory.,War Documentary,conflict nature history victory,Jordan Peele,Angelina Jolie Meryl Streep Emma Stone,2005,7.4,144,4575056.0,1830426972.0
37,Wild and Friends,A journey through colorful where talking animals leads to talking animals and beyond.,Animation,talking animals colorful,Ari Aster,Emma Stone Leonardo DiCaprio Robert Downey Jr. Brad Pitt Ryan Gosling,1995,6.4,104,,
38,The Silver Story,An epic tale of concert featuring emotional and unexpected musical.,Music Romance Drama,coming of age wedding musical concert emotional,James Cameron,Matt Damon Scarlett Johansson Will Smith,1995,7.6,163,35244122.0,1138270010.0
39,The Golden Story,An epic tale of gunfight featuring gunfight and unexpected cowboys.,Western,cowboys gunfight,Ari Aster,Ryan Gosling Jennifer Lawrence Lupita Nyong'o,2005,4.1,90,,
40,The Silent Chronicles,A thrilling story about emotional and tragedy in a world of tragedy.,Drama,tragedy emotional,Coen Brothers,Emma Stone Amy Adams Christian Bale Meryl Streep Margot Robbie Brad Pitt,2002,3.9,134,21595877.0,373819022.0
41,The Silver Story,A thrilling story about investigation and investigation in a world of investigation.,Mystery,investigation clues,Tim Burton,Natalie Portman Leonardo DiCaprio Oscar Isaac Scarlett Johansson,1994,4.0,117,149470059.0,1433225883.0
42,The Wild Curse,The story follows a hero dealing with monster while facing history and haunted.,Horror Crime Documentary,monster corruption haunted murder factual,James Cameron,Margot Robbie Scarlett Johansson Michael Fassbender Jennifer Lawrence Amy Adams Emma Stone,2024,7.6,107,,1454710992.0
43,Moments of Golden,The story follows a hero dealing with character study while facing character study and character study.,Drama,relationships character study,Ryan Coogler,Angelina Jolie Margot Robbie Christian Bale Ryan Gosling,2008,5.0,176,,711488438.0
44,Crazy Wild,A journey through romantic comedy where humor leads to romantic comedy and beyond.,Comedy,humor romantic comedy,Ryan Coogler,Lupita Nyong'o Emma Stone Robert Downey Jr.,2009,4.6,146,155550583.0,625157422.0
45,Rise of Fire,"When fight meets chase, they must overcome fight to save the day.",Action,chase fight,Quentin Tarantino,Scarlett Johansson Michael Fassbender Cate Blanchett Emma Stone,2003,7.6,164,,1892872722.0
